Load,Throughput,Avg,95%,99%
0,0.0,0,2,2
10,10.41,1,2,3
20,20.81,1,2,3
30,31.18,1,2,3
40,41.54,1,2,3
50,51.89,1,2,3
60,62.36,1,2,2
70,72.73,1,2,2
80,83.09,1,2,2
90,93.44,0,2,2
100,103.78,1,3,3
