Load,Throughput,Avg,95%,99%
0,0.0,3,7,22
10,10.41,3,7,22
20,20.8,3,6,23
30,31.18,3,6,23
40,41.54,3,6,23
50,51.88,2,5,23
60,62.36,2,6,22
70,72.71,2,5,24
80,83.08,2,5,23
90,93.42,3,5,22
100,103.76,3,5,23
