Load,Throughput,Avg,95%,99%
0,0.0,3,7,23
10,10.41,3,6,22
20,20.8,3,7,21
30,31.18,3,8,24
40,41.53,3,6,24
50,51.87,4,9,24
60,62.34,2,5,25
70,72.72,3,7,23
80,83.08,3,6,22
90,93.43,2,5,22
100,103.76,3,7,23
