Load,Throughput,Avg,95%,99%
0,0.0,2,5,20
10,10.41,3,6,23
20,20.8,3,6,23
30,31.18,3,5,22
40,41.54,3,7,22
50,51.88,3,6,23
60,62.36,2,4,23
70,72.72,2,5,22
80,83.08,3,7,23
90,93.42,2,5,22
100,103.77,3,6,22
