Load,Throughput,Avg,95%,99%
0,0.0,2,4,5
10,10.41,0,2,2
20,20.8,0,2,2
30,31.18,0,2,3
40,41.54,0,2,2
50,51.89,1,2,2
60,62.36,1,2,2
70,72.72,0,2,2
80,83.08,0,2,2
90,93.44,0,2,2
100,103.76,1,2,2
