Load,Throughput,Avg,95%,99%
0,0.0,3,7,22
10,10.41,3,5,22
20,20.8,3,6,24
30,31.18,3,6,22
40,41.54,3,7,22
50,51.88,3,5,22
60,62.36,2,4,22
70,72.72,3,8,23
80,83.08,3,5,22
90,93.42,3,6,22
100,103.77,3,7,22
